Rank,TOP500 Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Source,Power Efficiency [GFlops/Watts],Power Source,Power Quality Level,Measured Cores,Optimized Run (HPL),Optimized Run (Peak Power),Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
176,493,CTRtraning,"Sugon I620, Xeon E5-2650v4 12C 2.2GHz, 10G Ethernet",Internet Service (B),Sugon,China,2017,Industry,72000,,1242,2534.4,900,Submitted,1.38,,0,,,,Cluster,Xeon E5-2650v4 12C 2.2GHz,Intel Broadwell,2200,CentOS,CentOS,None,12,Intel Xeon E5 (Broadwell),Sugon I620,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50330,179189
177,199,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2019,Industry,110880,,2007,8160.77,1470,Submitted,1.365306122,,0,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300,Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50743,179677
178,403,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2019,Industry,88800,,1569,6535.68,1150,Submitted,1.364347826,,0,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300,Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50743,179675
179,39,Pleiades,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR",NASA/Ames Research Center/NAS,HPE,United States,2016,Research,241108,,5951.55,7107.15,4407,Submitted,1.350476515,,0,,,,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,SUSE Linux Enterprise Server 11,SUSE Linux Enterprise Server 11,None,10,Intel Xeon E5 (IvyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,48408,177259
180,438,Bsystem,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2019,Industry,78720,,1407,5793.79,1050,Submitted,1.34,,0,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300,Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50743,179674
181,264,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2019,Industry,99360,,1765,7312.9,1320,Submitted,1.337121212,,0,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300,Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50743,179676
182,170,,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Internet Company,Sugon,China,2019,Industry,121920,,2152,8973.31,1625,Submitted,1.324307692,,0,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300,Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50743,179678
183,49,Pangea,"SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR",Total Exploration Production,HPE,France,2013,Industry,220800,,5283.11,6712.32,4150,Submitted,1.273038554,,0,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,SUSE Linux Enterprise Server 11,SUSE Linux Enterprise Server 11,None,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Europe,49546,178071
184,498,Bsystem1,"Sugon TC6000, Xeon Gold 5118 12C 2.3GHz, 10G Ethernet",Telecommunication Company,Sugon,China,2018,Industry,70800,,1232,5210.88,970,Submitted,1.270103093,,0,,,,Cluster,Xeon Gold 5118 12C 2.3GHz,Intel Skylake,2300,Linux,Linux,None,12,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50119,179663
185,277,Marconi Intel Xeon,"Lenovo NeXtScale nx360M5, Xeon E5-2697v4 18C 2.3GHz, Omni-Path",CINECA,Lenovo,Italy,2016,Academic,54432,,1723.89,2003.1,1360.8,Submitted,1.266820988,,0,,,,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300,Linux,Linux,None,18,Intel Xeon E5 (Broadwell),Lenovo NeXtScale nx360 M5,Lenovo NeXtScale,Omnipath,Intel Omni-Path,Europe,47495,178755
186,427,HSystem19,"Sugon TC6000, Xeon Silver 4114 10C 2.2GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,82000,,1432,5772.8,1310,Submitted,1.093129771,,0,,,,Cluster,Xeon Silver 4114 10C 2.2GHz,Intel Skylake,2200,CentOS,CentOS,None,10,Xeon Silver,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50707,179664
187,486,HSystem,"Sugon TC6000, Xeon E5-2620v4 8C 2.1GHz, 10G Ethernet",Internet Company,Sugon,China,2018,Industry,76000,,1258,2553.6,1200,Submitted,1.048333333,,0,,,,Cluster,Xeon E5-2620v4 8C 2.1GHz,Intel Broadwell,2100,Linux,Linux,None,8,Intel Xeon E5 (Broadwell),Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50707,179666
188,434,Spirit,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Air Force Research Laboratory,HPE,United States,2012,Government,73584,,1415.47,1530.55,1606,Submitted,0.881363636,,0,,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Redhat Enterprise Linux 6,Redhat Enterprise Linux 6,None,8,Intel Xeon E5 (SandyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,49284,177935
189,488,Yellowstone,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",National Center for Atmospheric Research (NCAR),IBM,United States,2012,Research,72288,,1257.62,1503.59,1436.72,Submitted,0.875337575,,0,,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,48418,177827
190,97,SuperMUC,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR",Leibniz Rechenzentrum,IBM/Lenovo,Germany,2012,Academic,147456,,2897,3185.05,3422.67,Submitted,0.846415226,,0,,,,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Europe,48248,177719
191,85,Thunder,"SGI ICE X, Xeon E5-2699v3/E5-2697 v3, Infiniband FDR, NVIDIA Tesla K40, Intel Xeon Phi 7120P",Air Force Research Laboratory,HPE,United States,2015,Government,152692,27056,3126.24,5610.48,4819.5,Submitted,0.648664799,,0,,,,Cluster,Xeon E5-2699v3 18C 2.3GHz,Intel Haswell,2300,SUSE Linux Enterprise Server 11,SUSE Linux Enterprise Server 11,NVIDIA Tesla K40/Intel Xeon Phi 7120P,18,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,49284,178524
192,75,Topaz,"SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR",ERDC DSRC,HPE,United States,2015,Research,124200,,3318.95,4570.56,5175,Submitted,0.641342995,,0,,,,Cluster,Xeon E5-2699v3 18C 2.3GHz,Intel Haswell,2300,SUSE Linux Enterprise Server 11,SUSE Linux Enterprise Server 11,None,18,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,47771,178523
193,222,,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Japan Atomic Energy Agency (JAEA),HPE,Japan,2015,Research,60240,,1929.37,2409.6,3012,Submitted,0.640561089,,0,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,SUSE Linux Enterprise Server 11,SUSE Linux Enterprise Server 11,None,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Asia,50306,178671
194,450,Curie thin nodes,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",CEA/TGCC-GENCI,Atos,France,2012,Research,77184,,1359,1667.17,2132,Submitted,0.637429644,,0,,,,Cluster,Xeon E5-2680 8C 2.7GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,bullx SUperCOmputer Suite A.E.2.1,None,8,Intel Xeon E5 (SandyBridge),Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Europe,50414,177818
195,120,Tianhe-1A,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050",National Supercomputing Center in Tianjin,NUDT,China,2010,Research,186368,100352,2566,4701,4040,Submitted,0.635148515,,0,,,,MPP,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),NUDT YH MPP,NUDT MPP,Proprietary Network,Proprietary,Asia,50310,176929
196,282,SwiftLucy,"Cluster Platform 3000 BL460c Gen9, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Government,HPE,United States,2015,Government,57600,,1703.28,2304,2880,Submitted,0.591416667,,0,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,None,12,Intel Xeon E5 (Haswell),Cluster Platform 3000 BL460c Gen9,HP Cluster Platform 3000BL,Infiniband,Infiniband FDR,North America,50046,178533
197,474,Gordon,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect , Intel Xeon Phi 5120D",Navy DSRC,Cray/HPE,United States,2015,Government,61256,10248,1285.6,2049.6,2323.71,Submitted,0.553253203,,0,,,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Cray Linux Environment ,Intel Xeon Phi 5120D,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,50425,178521
198,473,Conrad,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect , Intel Xeon Phi 5120D",Navy DSRC,Cray/HPE,United States,2015,Government,61256,10248,1285.6,2049.6,2323.71,Submitted,0.553253203,,0,,,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Cray Linux Environment ,Intel Xeon Phi 5120D,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,50425,178520
199,84,,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect ",Government,Cray/HPE,United States,2014,Government,225984,,3143.52,4881.25,6327.55,Submitted,0.496798919,,0,,,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Cray Linux Environment ,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,50046,178432
200,386,ARCHER,"Cray XC30, Intel Xeon E5 v2 12C 2.700GHz, Aries interconnect ",EPSRC/University of Edinburgh,Cray/HPE,United Kingdom,2014,Research,118080,,1642.54,2550.53,3306.24,Submitted,0.496798781,,0,,,,MPP,Intel Xeon E5-2697v2 12C 2.7GHz,Intel IvyBridge,2700,Cray Linux Environment ,Cray Linux Environment ,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,Europe,50487,178188
201,478,Nebulae,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050",National Supercomputing Centre in Shenzhen (NSCS),Sugon,China,2010,Research,120640,64960,1271,2984.3,2580,Submitted,0.492635659,,0,,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),Dawning TC3600 Blade System,Dawning Cluster,Infiniband,Infiniband QDR,Asia,50287,176819
202,400,,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",IBM Development Engineering,IBM,United States,2013,Vendor,62944,,1587,1931.62,3575.63,Submitted,0.443837869,,0,,,,MPP,POWER7 8C 3.84GHz,Power,3836,Linux,Linux,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,North America,50515,178322
203,292,Edison,"Cray XC30, Intel Xeon E5-2695v2 12C 2.4GHz, Aries interconnect ",DOE/SC/LBNL/NERSC,Cray/HPE,United States,2014,Research,133824,,1654.7,2569.42,3747.07,Submitted,0.441598903,,0,,,,MPP,Intel Xeon E5-2695v2 12C 2.4GHz,Intel IvyBridge,2400,Cray Linux Environment ,Cray Linux Environment ,None,12,Intel Xeon E5 (IvyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,48429,178443
204,423,Salomon,"SGI ICE X, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR, Intel Xeon Phi 7120P","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",HPE,Czechia,2015,Academic,76896,52704,1457.73,2011.64,4806,Submitted,0.303314607,,0,,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,CentOS,CentOS,Intel Xeon Phi 7120P,12,Intel Xeon E5 (Haswell),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,Europe,50561,178525
205,111,LLNL CTS-1 Quartz,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Lawrence Livermore National Laboratory,Penguin Computing,United States,2016,Research,95472,,2632.51,3207.86,13620,Submitted,0.193282673,,0,,,,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,TOSS,TOSS,None,18,Intel Xeon E5 (Broadwell),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,48247,178971
206,110,LLNL/NNSA CTS-1 Jade,"Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path",Lawrence Livermore National Laboratory,Penguin Computing,United States,2016,Research,95472,,2632.51,3207.86,13620,Submitted,0.193282673,,0,,,,Cluster,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,TOSS,TOSS,None,18,Intel Xeon E5 (Broadwell),Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,48247,178969
207,80,Mustang,"HPE SGI 8600, Xeon Platinum 8168 24C 2.7GHz, Intel Omni-Path",Air Force Research Laboratory,HPE,United States,2018,Government,55296,,3221.4,4777.57,,,,,,,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,2700,Red Hat Enterprise Linux,Red Hat Enterprise Linux,None,24,Xeon Platinum,HPE SGI 8600,HPE SGI 8600,Omnipath,Intel Omni-Path,North America,49284,179426
208,266,QURIOSITY,"Apollo XL230k, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",BASF,HPE,Germany,2017,Industry,35280,,1750.18,2709.5,,,,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,None,20,Xeon Gold,Apollo 6000 XL230k,HP Apollo,Omnipath,Intel Omni-Path,Europe,47379,179110
209,223,,"Inspur NF5468M5, Xeon Gold 6132 14C 2.6GHz, NVIDIA Tesla V100, 25G Ethernet",Bank (J),Inspur,China,2020,Industry,51504,47360,1928,4618,,,,,,,,,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600,Linux,Linux,NVIDIA Tesla V100,14,Xeon Gold,Inspur NF5468M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,50835,179839
210,173,,"INSPUR NF5288M5, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, 25G Ethernet",Bank (Z),Inspur,China,2020,Industry,44200,41600,2121,4056,,,,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Linux,Linux,NVIDIA Tesla V100,20,Xeon Gold,INSPUR NF5288M5,Inspur Cluster,Gigabit Ethernet,25G Ethernet,Asia,50836,179840
211,392,,"ThinkSystem SD650, Xeon Gold 6240 18C 2.6GHz, Infiniband EDR",Beijing Meteorological Association,Lenovo,China,2019,Research,28800,,1624.11,2695.68,,,,,,,,,Cluster,Xeon Gold 6240 18C 2.6GHz,Intel Cascade lake,2600,Linux,Linux,None,18,Xeon Gold 62xx (Cascade Lake),ThinkSystem SD650,Lenovo ThinkSystem,Infiniband,Infiniband EDR,Asia,50816,179758
212,22,Marconi Intel Xeon Phi,"CINECA Cluster, Lenovo SD530/S720AP, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path",CINECA,Lenovo,Italy,2016,Academic,348000,204000,10384.9,18816,,,,,,,,,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Linux,Linux,None,68,Intel Xeon Phi,CINECA Cluster,CINECA Cluster,Omnipath,Intel Omni-Path,Europe,47495,178937
213,499,,"Apollo 6500, Intel Xeon Gold 6226 12C 2.7GHz, NVIDIA Tesla V100 SXM2, Intel Omni-Path",CNRS/IDRIS-GENCI,HPE,France,2020,Academic,20584,19840,1230,1702.27,,,,,,,,,Cluster,Intel Xeon Gold 6226 12C 2.7GHz,Intel Cascade lake,2700,RHEL 7.6,RHEL 7.6,NVIDIA Tesla V100 SXM2,12,Xeon Gold 62xx (Cascade Lake),Apollo 6500,HP Apollo,Omnipath,Intel Omni-Path,Europe,50403,179809
214,91,Jean Zay,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, Intel Omni-Path",CNRS/IDRIS-GENCI,HPE,France,2019,Academic,61120,,3054.35,4867.2,,,,,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,RHEL 7.6,RHEL 7.6,None,20,Xeon Gold 62xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Omnipath,Intel Omni-Path,Europe,50403,179699
215,54,Jean Zay,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, Intel Omni-Path",CNRS/IDRIS-GENCI,HPE,France,2019,Academic,93960,83520,4478,7345.56,,,,,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,RHEL 6.8,RHEL 6.8,NVIDIA Tesla V100 SXM2,20,Xeon Gold 62xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Omnipath,Intel Omni-Path,Europe,50403,179692
216,401,Cygnus,"NEC LX Cluster, Xeon Gold 6126 12C 2.6GHz, NVIDIA Tesla V100, InfiniBand HDR100","Center for Computational Sciences, University of Tsukuba",NEC,Japan,2019,Academic,27520,25600,1582,2399.74,,,,,,,,,Cluster,Xeon Gold 6126 12C 2.6GHz,Intel Skylake,2600,CentOS,CentOS,NVIDIA Tesla V100,12,Xeon Gold,NEC LX Cluster,NEC Cluster,Infiniband,InfiniBand HDR100,Asia,47529,179688
217,475,,"Lenovo x240 M5, Xeon E5-2667v4 8C 3.2GHz, 10G Ethernet",China Manufacture Company B,Lenovo,China,2016,Industry,51200,,1284.5,2621.44,,,,,,,,,Cluster,Xeon E5-2667v4 8C 3.2GHz,Intel Broadwell,3200,Linux,Linux,None,8,Intel Xeon E5 (Broadwell),Lenovo x240 M5,Lenovo Cluster,Gigabit Ethernet,10G Ethernet,Asia,50704,179584
218,440,Palmetto2,"HP SL250s /Lenovo NX360M5, Dell C4130, XL190r/R740 , Xeon 6148G/2665 8C 2.4G/2670v2, FDR, K20m/K40/K20/P100/V100",Clemson University,HPE,United States,2013,Academic,44016,34452,1405,3553.18,,,,,,,,,Cluster,Xeon E5-2665 8C 2.4GHz,Intel SandyBridge,2400,Linux,Linux,NVIDIA Tesla K20m,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL250s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,50100,178083
219,109,,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",Cloud Company,Lenovo,China,2020,Industry,128000,,2651.95,4710.4,,,,,,,,,Cluster,Xeon Gold 5218 16C 2.3GHz,Intel Skylake,2300,Linux,Linux,None,16,Xeon Gold,ThinkSystem SR590,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,50775,179850
220,296,Software Company (M) AA1,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Cloud Provider,Lenovo,Australia,2017,Industry,57600,,1649.11,2119.68,,,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,2300,Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,Oceania,50724,179336
221,298,Software Company (M) CA2,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Cloud Provider,Lenovo,Canada,2018,Industry,57600,,1649.11,2119.68,,,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,2300,Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,50726,179450
222,299,Software Company (M) CA1,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Cloud Provider,Lenovo,Canada,2018,Industry,57600,,1649.11,2119.68,,,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,2300,Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,50726,179451
223,300,,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Cloud Provider,Lenovo,Canada,2019,Industry,57600,,1649.11,2119.68,,,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,2300,Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,50726,179725
224,297,Software Company (M) CA3,"Lenovo C1040, Xeon E5-2673v4 20C 2.3GHz, 40G Ethernet",Cloud Provider,Lenovo,Canada,2018,Industry,57600,,1649.11,2119.68,,,,,,,,,Cluster,Xeon E5-2673v4 20C 2.3GHz,Intel Broadwell,2300,Linux,Linux,None,20,Intel Xeon E5 (Broadwell),Lenovo C1040,Lenovo Cluster,Gigabit Ethernet,40G Ethernet,North America,50726,179449
225,191,,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet",DJIT Company,Lenovo,China,2019,Industry,49200,,2045.93,3936,,,,,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,Linux,Linux,None,20,Xeon Gold 62xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,50787,179751
226,135,,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",DJIT Company,Lenovo,China,2020,Industry,115200,,2429.15,4239.36,,,,,,,,,Cluster,Xeon Gold 5218 16C 2.3GHz,Intel Skylake,2300,Linux,Linux,None,16,Xeon Gold,ThinkSystem SR590,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,50787,179820
227,263,,"ThinkSystem SR570, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",DJIT Company,Lenovo,China,2019,Industry,80000,,1765.81,5888,,,,,,,,,Cluster,Xeon Gold 5218 16C 2.3GHz,Intel Skylake,2300,Linux,Linux,None,16,Xeon Gold,ThinkSystem SR570,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,50787,179757
228,212,,"ThinkSystem SR590, Xeon Gold 5218 16C 2.3GHz, Myrinet 10G",DJIT Company,Lenovo,China,2019,Industry,89600,,1975.07,6594.56,,,,,,,,,Cluster,Xeon Gold 5218 16C 2.3GHz,Intel Skylake,2300,Linux,Linux,None,16,Xeon Gold,ThinkSystem SR590,Lenovo ThinkSystem,Myrinet,Myrinet 10G,Asia,50787,179756
229,172,,"ThinkSystem SR650, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",DJIT Company,Lenovo,China,2019,Industry,96640,,2129.54,7112.7,,,,,,,,,Cluster,Xeon Gold 5218 16C 2.3GHz,Intel Skylake,2300,Linux,Linux,None,16,Xeon Gold,ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,50787,179755
230,295,,"ThinkSystem SR570, Xeon E7-4850V3 14C 2.2GHz, 10G Ethernet",DJIT Company,Lenovo,China,2019,Industry,78400,,1652.49,2759.68,,,,,,,,,Cluster,Xeon E7-4850V3 14C 2.2GHz,Intel Haswell,2200,Linux,Linux,None,14,Intel Xeon E7 (Haswell-Ex),ThinkSystem SR570,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,50787,179754
231,268,,"ThinkSystem SR590, Xeon E7-4850V3 14C 2.2GHz, 10G Ethernet",DJIT Company,Lenovo,China,2019,Industry,2312800,,1741.02,81410.56,,,,,,,,,Cluster,Xeon E7-4850V3 14C 2.2GHz,Intel Haswell,2200,Linux,Linux,None,14,Intel Xeon E7 (Haswell-Ex),ThinkSystem SR590,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,50787,179753
232,237,,"ThinkSystem SR650, Xeon Gold 6248 20C 2.5GHz, 10G Ethernet",DJIT Company,Lenovo,China,2019,Industry,44000,,1861.37,3520,,,,,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,Linux,Linux,None,20,Xeon Gold 62xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,50787,179752
233,242,,"ThinkSystem SR570, Xeon Gold 5218 16C 2.3GHz, 10G Ethernet",DJIT Company,Lenovo,China,2019,Industry,83200,,1835.52,6123.52,,,,,,,,,Cluster,Xeon Gold 5218 16C 2.3GHz,Intel Skylake,2300,Linux,Linux,None,16,Xeon Gold,ThinkSystem SR570,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,50787,179744
234,229,,"ThinkSystem SR650, Xeon E5-2698v3 16C 2.3GHz, 10G Ethernet",DJIT Company,Lenovo,China,2019,Industry,86400,,1905.48,3179.52,,,,,,,,,Cluster,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Linux,Linux,None,16,Intel Xeon E5 (Haswell),ThinkSystem SR650,Lenovo ThinkSystem,Gigabit Ethernet,10G Ethernet,Asia,50787,179743
235,14,Lassen,"IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100",DOE/NNSA/LLNL,IBM / NVIDIA / Mellanox,United States,2018,Research,288288,253440,18200,23047.2,,,,,,,,,Cluster,IBM POWER9 22C 3.1GHz,Power,3100,Red Hat Enterprise Linux,Red Hat Enterprise Linux,NVIDIA Tesla V100,22,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,49763,179567
